,pid,trust,knowledge,age,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Trial,Time
245,14,8,6,22,200.0,200.0,10.251003,9.594203513761471,-0.27981500000000004,0.1302319908256881,0.380354,0.18925679816513766,0.317104,0.08162719266055042,0.482408,0.17641919266055045,0.0,-0.0685417021215633,-0.0685417021215633,0.2551739240343677,0.3003005153541109,0.7299561544875455,0.7559698543802751,97.13391077280079,103.45203657500778,3,5
246,14,8,6,22,200.0,200.0,10.300944,9.885501735849056,0.44036,0.08350654716981132,0.513026,0.3854212547169811,0.571113,0.13419933018867927,0.445092,0.12575864150943394,0.0,-0.13027736530531625,-0.13027736530531625,0.3019352345436134,0.3214263358102445,0.6461920123152866,0.6755564467504898,88.79538287342426,97.56111773329016,3,6
247,14,8,6,22,200.0,200.0,10.166316,9.373449377192985,0.919588,0.7973972631578946,0.464492,0.24383500877192985,0.555542,0.12471945614035088,0.44437,0.1899240614035088,0.0,-0.20156323456327047,-0.20156323456327047,0.3089350355325907,0.3261018496580948,0.6099140580746091,0.6338216620208215,82.09235749043833,84.35599791080247,3,7
248,14,8,6,22,200.0,200.0,10.292548,10.107941660377357,1.209637,1.0689619056603774,0.4609,0.2628561415094339,0.304487,0.11241442452830187,-0.315494,0.11799834905660378,0.0,-0.25205854061219696,-0.25205854061219696,0.2730420004485581,0.2939013830526178,0.5933529989330496,0.6436785691381729,91.80154764590641,101.5014922604375,3,8
249,14,8,6,22,200.0,200.0,10.14432,9.41693553508772,1.272103,0.8976053508771931,0.456783,0.31040282456140345,0.469251,0.1864039912280702,0.464412,0.15321369298245613,0.0,-0.30488303262080324,-0.30488303262080324,0.26003095593335795,0.27583137097892885,0.6366949441123423,0.673924925582082,97.08174690771908,104.1350445601963,3,9
250,14,8,6,22,200.0,200.0,10.216503,9.522346036363636,1.232071,0.5613828181818181,0.327866,0.1865240090909091,-0.6641050000000001,0.2393781272727273,0.4246470000000001,0.1923694272727273,0.0,-0.3540318281670253,-0.3540318281670253,0.26290860468195576,0.2743698824266124,0.6147280150775091,0.6965576689882031,96.40180085198776,106.04803913684972,3,10
251,14,8,6,22,200.0,200.0,10.131467,3.7754333046594986,-0.366572,0.1431675770609319,-2.744268,1.1915823333333335,-0.404994,0.07807408602150538,2.897043,0.5309181218637992,1.0,0.06513835651135172,-0.1631403359017443,0.2906543767519355,0.3212830171245349,0.4815995071392306,0.5374276661217509,83.62129635448667,93.87783783829364,3,11
252,14,8,6,22,200.0,14.672018,9.624712,1.9968740361216728,0.951437,0.19888729087452472,-2.847273,0.7487879904942967,-1.080686,0.10051530988593156,-2.838382,0.3582860646387832,2.0,0.4923231450033094,0.13249576990405698,0.1801793822530796,0.2920987500310946,0.7592255648246093,0.9585993825085886,97.2906194426404,107.48189443993641,3,12
253,14,8,6,22,200.0,200.0,9.499151,7.727948507352941,0.293932,0.1759051838235294,1.3212540000000002,0.6764692352941176,-0.327755,0.1024297205882353,-3.628611,0.7516841029411765,0.0,0.01350805146132998,0.01350805146132998,0.24023674361609645,0.26536007294345065,0.6950680142033585,0.8141202095174044,100.12368260335852,106.7822012623423,3,13
254,14,8,6,22,200.0,200.0,10.304709,8.935193426086958,-0.324868,0.1572179130434783,-0.6518689999999999,0.21570514782608696,0.918396,0.1771387217391304,0.548744,0.2387745043478261,1.0,0.34397719990202597,0.2797953224459733,0.18030416742406846,0.22331926967950846,0.8533292057317695,0.8942748540703442,86.19186807893719,92.75897081492369,3,14
255,14,8,6,22,200.0,200.0,10.296765,10.23473718627451,-0.31828,0.1976105294117647,-0.540724,0.4889731568627452,0.363061,0.12470027450980388,-0.255333,0.051469803921568635,1.0,0.17454705567935835,0.1632215003487584,0.17688571508934353,0.21677135807401915,0.8741854343987416,0.8983413304273842,89.39105830079666,94.2763984939377,3,15
