pid,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
14,200,200,9.837434,8.8836376564,3.885859,1.6887752857,-2.068883,0.5251639691,-2.253139,0.7796595598,-1.470535,0.2440613784,0,-0.1451916053,-0.1451916053,0.2695970503,0.3093479372,0.5486639941,0.6096291804,92.3556579921,108.0400292342,4,3
20,9.947635,200,10.171964,9.76396145,0.575599,0.188644955,-0.386642,0.124559145,0.185728,0.05182728,0.096304,0.033466445,0,-0.1940104049,-0.1940104049,0.163021887,0.206342436,0.8739726711,0.9105290111,102.2164018939,112.5217261993,1,3
20,200,34.503818,10.398612,4.6622466877,-0.345049,0.1282389189,-2.823021,1.1350932913,0.199041,0.0341825526,1.161486,0.1870540871,2,0.8606204133,0.3584673136,0.2143826365,0.2857546518,0.8085751964,0.8822991812,148.5187642771,167.1024839717,2,3
20,200,16.605116,9.40375,2.0829183823,0.843317,0.2068861772,-2.979878,0.8287941671,-0.341264,0.0426141114,1.170895,0.1624841266,1,0.2284913686,0.0686338,0.1399416099,0.2266226477,0.8441238379,0.9645520955,102.7538782988,122.8058933437,3,3
20,200,200,9.748364,7.5267779474,2.259484,1.1231475033,-1.622571,0.5252796349,0.639736,0.1904672237,-0.509475,0.1338636414,2,0.4556328812,-0.1070985955,0.2791043415,0.3082300548,0.6445987045,0.7138559237,95.479780158,118.0009950324,4,3
19,7.919749,200,10.153947,9.6741547015,0.562592,0.1850948806,-0.390247,0.1494115522,-0.43449,0.1394771343,0.233358,0.0851004876,0,0.0984601667,0.0984601667,0.143657234,0.1882143485,0.8907119472,0.9324757705,101.7204805441,107.3988652712,1,3
19,200,27.371723,10.399285,4.5762101003,-0.385984,0.132725351,-2.828138,1.1006960796,-0.468453,0.0904444572,2.931062,0.4633706814,1,0.6231511952,0.060341151,0.1814521246,0.2164432107,0.7544990367,0.8703069768,84.062854882,106.7560746877,2,3
19,200,16.989849,9.105821,1.8570600268,0.547343,0.1811208054,-2.938423,0.7430261387,-0.863806,0.0699614228,2.986098,0.3633870045,2,1.0365749107,0.3556141618,0.1413660682,0.185481205,0.885962378,0.9325964506,98.0303018519,119.6980106025,3,3
19,200,200,9.658535,6.765443651,2.23275,1.0026827185,-1.605014,0.7058979824,1.573342,0.4745913226,-1.300857,0.2839697185,2,-0.024780414,-0.1111313776,0.2539702716,0.2999878333,0.6349376322,0.7467157544,103.195909549,126.0257126404,4,3
15,10.885508,200,10.109741,9.8012215797,0.577528,0.176023401,-0.685398,0.4716512995,0.683566,0.1949771111,-0.513874,0.054992599,0,0.0612835734,0.0612835734,0.2354866219,0.2560353697,0.2775406962,0.388911169,119.9582600392,124.9057365016,1,2
15,200,200,10.353436,4.4712978739,-0.357509,0.1248135673,-2.717523,1.0443724097,-0.498667,0.0906107421,2.623857,0.4395733238,0,0.2596110211,0.2596110211,0.2008982229,0.2369359793,0.2716210019,0.3990773864,111.2950677056,126.821785999,2,2
15,200,17.049726,9.7612,2.2759655034,-0.211357,0.1066382528,-2.559515,0.7840337852,-0.328304,0.0297667718,2.945383,0.3111801163,3,0.861308974,0.2707808167,0.2175086691,0.2490194811,0.5506767496,0.8101644852,114.9604588614,139.7372284247,3,2
15,200,200,9.616434,7.6043597774,2.27599,1.1245406047,-1.545235,0.4949014153,-1.625862,0.498371186,-1.646238,0.3459594286,0,-0.2404042953,-0.2404042953,0.1659463883,0.1905521516,0.2014916608,0.298883669,119.4275420401,133.60088227,4,2
25,8.236888,200,10.19378,9.7401696567,0.577698,0.1897132139,-0.372786,0.152729801,0.423965,0.1394785373,0.283958,0.0868130945,0,-0.4740991049,-0.4740991049,0.2924570167,0.3128858811,0.4968102307,0.6155986794,88.9348837256,91.1796243726,1,0
25,200,29.878566,10.389511,2.7033282391,-0.41642,0.1217010716,-3.133321,0.6891513997,0.492542,0.059007822,3.074705,0.3269228272,2,0.5149874149,0.3079214504,0.2494725656,0.2862607339,0.4868702898,0.6516737883,84.7960546599,162.1456624541,2,0
25,200,16.90189,9.010853,2.0296488193,0.641689,0.1898865272,-2.943724,0.8388935446,0.616185,0.093458505,3.021591,0.4484234752,3,0.8198984552,0.1971605479,0.2643662538,0.3005676355,0.5858251126,0.7981484956,73.5911145037,94.7545321455,3,0
25,200,200,9.687887,5.852764246,2.247584,0.9087881138,-1.794951,0.7811153175,1.68473,0.4030646032,1.5921,0.3352903889,3,0.3785922553,0.0416415738,0.3179074406,0.3360701301,0.5365876464,0.602349076,72.29933764,81.3409705635,4,0
13,10.20798,200,10.196279,9.9084160683,0.475876,0.1695492244,-1.014697,0.4465091512,0.388066,0.0827401366,-0.338484,0.0523133561,1,0.2608117202,0.1262623657,,,0.7944893764,0.8842070491,98.2543423127,116.2029888907,1,2
13,200,200,10.456412,4.0004366881,-0.349022,0.1301879871,3.105196,1.0280756392,0.22611,0.0352267861,-1.180266,0.2157032732,1,-0.0003941035,-0.0192275518,,,0.9193166804,0.980624117,124.7765107361,162.8177865799,2,2
13,200,18.594269,9.774243,2.0558718707,-0.220363,0.1077398929,-2.620043,0.7006651879,0.100028,0.012731297,1.17746,0.1310845273,1,0.1076434763,0.0007701928,,,0.8584519241,0.9865773685,112.0093518547,142.1993374061,3,2
13,200,200,9.705492,4.3940783992,2.266388,0.6791723781,-1.735837,0.6220344875,-0.691361,0.1257681536,0.627985,0.0992223743,2,0.0635527334,-0.0072252995,,,0.7066503483,0.9205549057,137.1477294886,169.9236426239,4,2
27,6.919282,200,10.289793,9.9889153881,0.547842,0.1412774328,-0.627778,0.4443383831,0.205804,0.0634470498,-0.159432,0.0155247015,0,-0.0329040604,-0.0329040604,0.2457263731,0.2700114965,0.7421607629,0.8205523116,140.2628638363,153.633225243,1,1
27,200,200,9.952652,4.5839411062,-0.351989,0.11834059,-2.995544,1.0844090413,0.238563,0.0338146431,1.241111,0.1939230649,0,0.0147846789,0.0147846789,0.2832475301,0.3452653741,0.6238482476,0.788121844,163.0293867734,186.3608254463,2,1
27,200,24.9224618275,10.070123,2.5940440253,-0.148887,0.051118713,-2.757767,0.6612360632,-0.115165,0.0130330054,1.159654,0.1758887852,1,0.0687616559,-0.0067538032,0.3072246977,0.3344024258,0.6179201087,0.8060958492,125.5360876463,132.2749719487,3,1
27,200,200,9.823943,9.0715702095,3.797097,1.7121963241,-1.547854,0.4050430198,-0.834631,0.3061388814,-0.44273,0.0828699881,0,-0.0334834153,-0.0334834153,0.2385024209,0.2516877522,0.4040364747,0.4629657835,159.9809255423,188.5155440142,4,1
20,9.166766,200,10.157048,9.6357001379,0.549236,0.1796433054,-0.386456,0.1654239852,0.167716,0.054394468,0.129217,0.0344169064,3,0.2280685457,0.033131628,0.2061909884,0.2431354959,0.8085562479,0.8562570077,89.0505702042,101.9065473518,1,0
20,200,38.601606,10.380273,4.7397830826,-0.333809,0.1320137187,-2.74276,1.1550226086,0.259807,0.0372820367,1.136448,0.1848878532,1,0.3205891121,0.0583398735,0.2372831225,0.3089942399,0.7336801811,0.8403485312,80.9870404365,89.7984628539,2,0
20,200,12.376614,10.024397,1.6069112641,1.096583,0.2012944932,2.980736,0.7621983903,0.342235,0.0392308951,1.207118,0.1445378369,2,0.6752005107,0.0388816093,0.1907817809,0.3057060141,0.7583904243,0.8963307025,109.0401019884,118.9829948011,3,0
20,200,200,9.574089,7.3790751576,2.245508,1.0702542701,-1.581207,0.5407148714,0.635083,0.1867454019,-0.594218,0.1472305466,1,0.2538500647,0.0269189667,0.2424104934,0.2744359891,0.7430509914,0.8257157557,94.0068473529,111.6606317969,4,0
14,5.686551,200,10.306953,9.9257743382,0.571779,0.1750365245,-0.556114,0.4261826275,0.907198,0.1987285784,-0.25966,0.0429689559,0,-0.2415345348,-0.2415345348,0.1886335847,0.2415857564,0.6962386731,0.9006416683,91.0792953558,96.8107522336,1,1
14,200,200,10.260956,4.6892512296,-0.354649,0.1316880423,-2.767267,1.1179480483,-0.474852,0.088659719,2.884615,0.4897201662,0,-0.1908212741,-0.1908212741,0.228857871,0.2616636052,0.5654214131,0.8546233535,102.1057825211,107.4581207886,2,1
14,200,8.10912,10.15679,3.1775801528,-0.201326,0.1119806943,-2.669628,0.6403728079,0.258081,0.0357025721,2.563014,0.4591188428,3,0.8621381794,0.3102430611,0.192644272,0.2820458228,0.7740442771,0.9825471943,112.678667624,123.1074732965,3,1
14,200,200,9.711758,8.3187289964,3.870861,1.5751674657,-2.384814,0.6969435451,-2.104978,0.7584801011,-1.157332,0.2457224838,0,-0.3891493583,-0.3891493583,0.2560757684,0.2940911093,0.4587874417,0.5975533383,100.2083161645,114.4059883212,4,1
16,8.227326,200,10.199611,9.8956651756,0.446278,0.1319217073,-0.828074,0.4166396341,-0.511575,0.1653371659,-0.506044,0.102362039,2,0.1576151055,0.0261206301,0.2109519721,0.2646438928,0.354653854,0.4714824216,98.0280947689,126.7253472139,1,2
16,200,200,10.91543,1.611409317,-0.358871,0.1027262193,-3.222437,0.4897315343,-0.443849,0.0376167848,3.38354,0.2408300738,2,0.2004689942,0.044071222,0.18265669,0.237453293,0.4370925219,0.9224295151,84.3085092942,105.379426478,2,2
16,200,15.768711,10.046768,2.1821343812,-0.113006,0.0573249293,-2.621904,0.6803464754,-0.277049,0.0331962698,2.118162,0.3524415096,0,0.0050789686,0.0050789686,0.2002438227,0.2736660355,0.3178828761,0.4672198857,77.9418164404,110.6280073502,3,2
16,200,200,9.641773,7.3703895064,2.258226,1.0819328045,-1.689421,0.5733373077,1.536472,0.4709821731,-1.255966,0.3581410256,1,-0.0085265219,-0.0322076939,0.1276882753,0.1420896526,0.1257970571,0.1403649243,82.6964407264,100.4404615326,4,2
17,9.471924,200,10.175919,9.769443165,0.609408,0.207152105,-0.368061,0.127750605,0.453454,0.130681565,0.218919,0.082073735,0,-0.0346812091,-0.0346812091,0.218659987,0.2591422583,0.3758453676,0.5435901715,90.0507305305,98.1291005954,1,3
17,200,36.917975,10.396075,4.4514273496,-0.363077,0.114597255,-2.895059,1.0840617307,0.47086,0.0819326705,2.697083,0.4664508424,3,0.1868991578,0.0410333892,0.1228717432,0.1726075114,0.2844740239,0.4152412389,78.5455814984,92.9830247095,2,3
17,200,8.835558,9.899873,1.7426384486,1.095636,0.1943524403,-3.184721,0.7015140545,-0.938599,0.096861566,3.237035,0.3561855304,2,0.3969823336,0.227383756,0.2207598035,0.2828915335,0.3254789465,0.5153398384,93.5371593154,123.442115662,3,3
17,200,200,9.675837,7.5320492164,2.233358,1.0969626131,-1.650446,0.5329337836,-1.642134,0.4803828197,-2.008373,0.403142659,1,-0.0471776546,-0.0851331915,0.2175032939,0.2529513087,0.3838299312,0.5936900626,81.8410721483,121.5721482703,4,3
