,pid,Comfort,Anxiety,LatDist,LongDist,MaxVel,MeanVel,MaxLatAcc,MeanLatAcc,MaxLongAcc,MeanLongAcc,MaxLatJerk,MeanLatJerk,MaxLongJerk,MeanLongJerk,NumPks,MaxPkAmp,MeanScl,MeanEntropy,MaxEntropy,MeanDwell,MaxDwell,MeanHr,MaxHr,Event,Trial
154,11,10,2,200.0,6.950419,9.611664,2.055282845,0.8760129999999999,0.1973349227,-3.02733,0.8883678803,0.42131499999999994,0.0410826683,-1.070354,0.18446130670000002,2,1.77389061,0.409758151,,,0.8586685381,0.9381580329000001,108.5530879,132.3341351,3,3
155,11,10,2,200.0,200.0,9.351052000000001,7.446802185,2.2496959999999997,1.08344038,-1.5056969999999998,0.5152745487,0.6227729999999999,0.19359702920000002,-0.6185970000000001,0.1401706364,1,2.207569441,0.6361348079,,,0.8020461024,0.8863069259,101.0994237,114.57429209999998,4,3
156,11,10,1,7.540984,200.0,10.280649,9.954122802999999,0.571913,0.152977936,-0.554144,0.4430166355,-0.39632,0.0726302857,0.202672,0.0144025271,1,-0.300135147,-0.3059937371,,,0.7762566954000001,0.918788851,96.73363854,108.0195817,1,2
157,11,10,1,200.0,200.0,10.326495,4.673614429,-0.38764499999999996,0.1276811994,-2.9677279999999997,1.134282124,0.227223,0.038024888199999995,1.183777,0.20037783690000002,1,0.11090107460000001,0.1453248366,,,0.8436951919,0.9810507293,100.4858473,122.1791328,2,2
158,11,10,1,200.0,19.890268,9.625588,2.529936088,-0.129563,0.028299651600000003,-3.051975,0.9180412682,0.097353,0.011203691699999999,1.356708,0.15714278199999998,3,0.302755135,0.07228790480000001,,,0.8780693498000001,0.9665169468000001,116.7840395,137.796555,3,2
159,11,8,3,200.0,200.0,9.722541,7.445395625,3.097448,1.319997908,-1.45754,0.6926539079,-0.856766,0.2761829048,-0.705228,0.0879825016,1,0.7615378593000001,0.3024382185,,,0.7831815619,0.8595615501999999,130.47890159999997,189.2367264,4,2
160,28,6,6,3.904657,200.0,10.215516000000001,9.683340199,0.45981700000000003,0.1655080746,-0.36787800000000004,0.1546465423,-0.189202,0.0429112886,0.129098,0.0376323383,1,-0.098587001,-0.1434107633,0.2582849645,0.27605615079999996,0.6521422217,0.7360772809,98.10961348,114.1496135,1,0
161,28,5,7,200.0,40.052035,10.41412,4.441589277,-0.398694,0.1417134257,-2.7509490000000003,1.051064763,-0.194724,0.036560111400000005,1.0416459999999998,0.1767575857,0,0.0747471313,0.0747471313,0.176336336,0.2441760289,0.3424854017,0.5294094592,104.5300622,115.83093559999999,2,0
162,28,5,5,200.0,13.887915,9.58862,1.680773316,0.891021,0.1634200916,-2.791408,0.7375658493,-0.44404099999999996,0.033661499,1.13055,0.1400059104,3,0.5795825757999999,-0.0018480206,0.2053745032,0.2511733895,0.48835378490000003,0.7521171161,89.58913267,97.43869000000001,3,0
163,28,8,2,200.0,200.0,9.752949000000001,6.904364507,2.3184299999999998,1.1048306270000001,-2.249702,0.8090352304999999,-0.694457,0.20342019809999998,-0.46593199999999996,0.14492038640000002,1,0.20523519710000002,0.023903536,0.0627509339,0.0663701583,0.0669327763,0.0783622918,99.16428374,109.38264960000001,4,0
164,29,9,1,4.207708,200.0,10.120396000000001,9.74604916,0.532007,0.186669475,-0.371325,0.11368713,-0.45470299999999997,0.127529145,0.238355,0.073094455,0,0.0002449126,0.0002449126,,,0.960106662,1.002779949,109.5117851,116.5191192,1,0
165,29,6,7,200.0,35.799205,10.406481,2.747683358,-0.40531,0.1234946472,-2.81074,0.6994203848,-0.512793,0.0629828546,2.900713,0.2875942163,0,-0.00041662569999999997,-0.00041662569999999997,,,0.6619719948,0.7922234026,77.06507857,126.9997452,2,0
166,29,5,8,200.0,14.741534,9.280809,1.740094627,0.705753,0.18534399149999997,-2.983476,0.7317814873,0.753753,0.07905911019999999,3.0094790000000002,0.35619894490000004,0,0.0001365857,0.0001365857,,,0.5993482383,0.7339926931999999,86.69793333,122.32569509999999,3,0
